Line	Elapsed	Date	Experiment	EGFP_untreated_1	EGFP_untreated_2	EGFP_untreated_3	EGFP_DOX_1	EGFP_DOX_2	EGFP_DOX_3	Ptf1a_untreated_1	Ptf1a_untreated_2	Ptf1a_untreated_3	Ptf1a_DOX_1	Ptf1a_DOX_2	Ptf1a_DOX_3
12738	0	180120	2	9.181655	9.645849	8.487443	8.341242	9.276875	7.651136	5.418496	8.243189	8.044217	8.474316	8.203333	6.40815
12738	2	180120	2	9.343571	9.900736	8.298001	8.297554	9.503416	8.058963	6.016833	8.700712	8.536035	9.056146	8.464197	6.968321
12738	4	180120	2	10.29181	10.40375	9.31801	8.627872	9.28924	8.580557	6.715644	9.093239	8.899723	9.544102	8.463301	7.517061
12738	6	180120	2	10.67877	10.81565	9.675272	9.125291	10.04031	8.99919	7.054218	9.932204	10.11584	10.03872	9.37203	7.888312
12738	8	180120	2	11.18082	11.30222	10.03022	9.862469	10.94444	9.349616	7.18688	10.40613	10.21168	10.09957	9.775398	7.838889
12738	10	180120	2	11.88553	11.80219	10.40606	9.985254	11.3054	9.60903	7.139631	11.00533	11.11205	10.35902	9.518953	7.703359
12738	12	180120	2	11.85272	12.44491	11.25687	10.70706	11.73474	9.561232	7.573256	11.75967	11.63672	10.45642	9.085435	7.487946
12738	14	180120	2	12.81519	12.75479	11.58236	11.03255	12.28632	10.03098	7.643161	11.88947	11.65413	10.30197	9.173195	8.005188
12738	16	180120	2	13.09681	13.68983	11.77477	11.16607	12.47005	10.20688	7.668373	11.90933	12.03588	10.39114	8.904869	8.127073
12738	18	180120	2	13.57499	13.70203	12.26635	11.09416	12.59415	10.38917	8.393913	12.30538	12.11403	10.59011	9.006309	8.424237
12738	20	180120	2	13.80129	14.01767	12.51827	11.23808	12.82624	10.86725	8.609188	11.70597	12.62579	10.7913	8.720228	8.177154
12738	22	180120	2	14.71792	14.27373	12.31881	11.54875	13.08041	11.01348	8.931118	12.2974	12.64087	10.83603	9.244342	8.78409
12738	24	180120	2	15.22504	14.67948	12.53682	12.22777	13.53551	11.65806	9.575977	12.8306	13.37923	11.16535	9.156166	8.772276
12738	26	180120	2	15.85509	14.79487	13.07502	12.01394	13.99736	12.41483	9.848448	12.97448	13.65844	11.09371	9.441692	9.074171
12738	28	180120	2	16.70967	15.58331	13.22119	12.86959	15.104	12.83125	10.23168	13.81113	13.83544	11.8177	10.10631	9.810074
